"id","text","label"
"1409546061249757193","There I was thinking Malta were proper decent only for them to throw a U-Turn and only allow double vaccinated UK travellers in.

Proper kick in the balls for their hospitality industry.",""
"1418767786352943107","Should vaccinated people be wearing masks? 

-Obvious! 
#DeltaVariant #COVID19 #WearAMask",""
"1387203200336289794","Why did it take a group of GQP elected officials so long to promote everybody taking a Covid vaccine ?
What political game were they playing for so long by calling it all a hoax ?",""
"1374746999392772105","I hope Govt recognises this unfriendly act is unacceptable &amp; immediately stops Pfizer getting supplies from us. EU is incompetent &amp; is blaming the UK (as usual). Does Boris have the Brexit balls to stand up to them or is he a pussy? ⁦@BBCBreaking⁩",""
"1375821675871096833","Far-Right Extremists Move From ‘Stop the Steal’ to Stop the Vaccine",""
"1418255768651014158","UPDATE: The University of Waterloo has also announced they will also require students to be vaccinated to live on campus for the upcoming school year.",""
"1432259481568567298","Got vaccinated pfizer dose 1 for covid-19. I lost my left arm and became the Winter Soldier",""
"1374118369981427716","I just got a vaccine appointment booked for tomorrow and it literally feels like Christmas Eve",""
"1396550207027007492","Pour éviter ""une 4e vague"", le patron de Moderna propose de vacciner les 12-17 ans d'ici août",""
"1449903854271623169","@tedcruz is vaccinated hypocrite. Speaking out against mandatory vaccinations for public health purposes when he complied for the same god damn reason.",""
"1373876708684623872","Anyways, we already had our 2nd dose yesterday and I feel sick af today! No fever tho, but been having chills, muscle pain and headache earlier. Took tylenol nalang 24hrs after vaccine as per our nurse's instruction.",""
"1378220335569440770","If you are out here calling the vaccine a “jab” you better also use words like cheeky, chuffed, arsed, and mugged or you immediately lose all credibility. $NVAX $JNJ $BNTX $MRNA ranked best to worst. Toodle-pip cheerio 💂‍♂️",""
"1429323237075259392","Scammers are selling fake coronavirus vaccine cards online  via @YouTube",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1451934376703393794","These people are the reason people don’t want to work these people are the reason America is leading the world in COVID deaths. If you are a dr or nurse or any medical professional please believe in the Medina or vaccine to help us become more normal to get these people of others",""
"1385900991141220357","My job is trash for paying people to get the vaccine this damn girl calling out early this morning I’m so over it",""
