"id","text","label"
"1406553731454234624","UK is likely to introduce 'mandatory vaccination' for its citizen-won't give away any vaccine now
US is playing game with CDC
India: रोजीबेटीका संबन्ध only for political game- just a bull shit
Japan: indecisive: Good lobby and relation helps",""
"1393272468165570564","For Americans vaccinated against Covid-19, daily life may look increasingly different than for those who aren't inoculated yet following Thursday's mask guidance, experts said.",""
"1431338966163337217","EEUU da su plena aprobación a la vacuna de Pfizer y BioNTech sube más de un 10%",""
"1430876830291005445","Posh school in Pfizer queue jump claim - There are claims a private school in Sydney offered the Pfizer vaccine to staff under 40 despite the jab not being available to younger... -",""
"1428310401142333458","vac·ci·na·tion
/ˌvaksəˈnāSH(ə)n/
noun
   treatment with a vaccine to produce immunity against a disease; inoculation.""vaccination against yellow fever is essential""

- nct lokal au -",""
"1418581291365289987","Coronavirus | La Agencia Europea de Medicina (EMA) aprobó la vacuna de Moderna para chicos de entre 12 y 17 años. Argentina comenzará por niños con factores de riesgo.",""
"1398521959068012544","Delusions of wanting to become ""Vishwaguru"" led vaccines to go out of the country which could have been used to vaccinate our people. #CongressCOVIDSevak",""
"1437083683442278400","Coronavirus live news: England to scrap Covid vaccine passport plans; Sri Lanka faces food shortages",""
"1393064904211542018","@GeneseeLibrary I heard on the news that the CDC changed the rules for wearing masks so that the fully vaccinated don't have to wear them indoors and outdoors.",""
"1402836884355633154","Texas hospital suspends nearly 200 healthcare workers for two weeks without pay, for failing to comply to mandatory vaccination deadline. Some workers had already received the first shot, but that wasn't enough, and were also suspended w/o pay.",""
"1403115607168540672","A Good Man Down: The Fatal Reality of Vaccine Adverse Reactions  via @ukcolumn",""
"1372520667732709380","‘It’s a very special picture.’ Why vaccine safety experts put the brakes on AstraZeneca’s COVID-19 vaccine",""
"1449255781778481152","😭Les essais expérimentaux de vaccins à ARNm Moderna sont étendus aux enfants et aux bébés de 6 mois au Texas - Cogiito",""
"1432777115578126339","@RealMichaelKay: ""If someone doesn't get vaccinated they need to tell us why!""

*Kay gets called a racist by a local star professional athlete*

Kay: ""(crickets)""",""
"1414332529637740546","Poor countries could lose $1.4 trillion from tourism's collapse this year. Blame vaccine inequality  #covid19 #aroundtheworld #wealth",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1419370079695695876","Fox News’ Howard Kurtz Defends Network’s Vaccine Coverage Amid Criticism: ‘Fox’s Rivals Are in a Frenzy’  #SmartNews",""
"1397991383873441794","Nanny state continues in British Columbia:

 ""The criteria for moving to Step 2 is at least 65% of the 18+ population vaccinated with dose 1, along with declining case counts and COVID-19 hospitalizations"".  

Stay tuned...",""
"1378009379245453312","Health department asks for help in increasing vaccine appointment availability",""
"1432750099667595271","Short Strand Community Centre are once again pleased to assist @BelfastTrust providing a venue for a further Pop Up Covid vaccination clinic. 
SHORT STRAND COMMUNITY CENTRE 
THUR 2ND SEPT
10.00AM - 4.00PM
First dose Pfizer vaccine
Remember to bring photographic ID
#GrabAJab",""
"1430919220666142720","please put out a vaccine for all the bullshit already, I can’t take it anymore 😅",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1405630416321667072","Next week I'm finally able to get my first vaccine ... which is great! But there might be a chance I bounce on some of my streams depending on how I react to it",""
